,Tweets
240,@NoNowlegoat @LAW_QLF @Fumzerleretour @wahraniii6 @SoouullX @saile_jedusor @_Cristiano9_3 Un autre footix quand ils vont perdre sans Ronaldo sa sera quoi le nouveau argument? Et aujourd’hui il a 38ans il ne peut plus faire les meme performance qu’à ces 18ans et Benzema c’est juste 2 ans au haut niveau donc dose unpeux
241,@Adr1anefYT @Cristiano
242,@Ghana_Ronaldo @FrankwalkerLik6  am following back every one
243,@utdreport Ronaldo is training with Chong
244,"@AL7XYT @capiii285 @V4SKO_ @ArobaseGiovanny @mackolik Bah oui mais 2-3 ans pour rattraper 15 buts, c'est faisable. L'année dernière il a mis 5 ou 6 buts en LDC Messi je crois. Et je pense pas que Ronaldo fera une 3 ème saison à Manchester, j'en doute."
245,"Stop sharing this rat sewing hate &amp; division in the camp.

That division wasn't there until Ronaldo pitched up and made every single player perform to a lower level.
This is an irrefutable fact.
Brent Di Cesare is a fraud. https://t.co/kKevlDcG58"
246,"Messi in the same years:

2011:95 g/a
2012:113 g/a
2013:61 g/a
2014:80 g/a 
2015:78 g/a
2016:90 g/a

All these years combined:517 g/a
(Ronaldo in these years:464 g/a)"
247,@Massilia13014 @reyllinho @ActuFoot_ Nn chuis pro ronaldo et ça n'a rien à voir avec Messi frère celui de l'argentine péte sa mère
248,@thalabheem333 @ronaldo_mb_dhf 😂😂😂😂😂😂
249,"""Il va signer cette semaine"", la tendance se confirme pour Cristiano Ronaldo ! 
https://t.co/9noq4GpIhW"
250,@Guilleee_Carp @FranAriza23 @Cr7stianismo_ @Cristiano Jajaja decime que se siente ver qué tú único jugador reconocido fue un drogon y que metió gol con la mano y hasta su santo le hicieron jajaja y decime que siente llegar ala final del mundial y perderla ante Alemania jajajajaja andate ala cocina y servirme otro trago mesero hdp.
251,@Ghana_Ronaldo @Impeccable_John
252,@quarshie_walker @_starboyorlando Till now Barca need him but go and ask Perez about Ronaldo 😂.. what. Can you do as a person 🤣😂
253,"@heynamit @FabrizioRomano We rejected Ronaldo, who is bigger than your club, dfkm"
254,@_Prime_Junior Martial Ronaldo Sancho/Antony
255,@George_Ambangil Jaman Ronaldo transfer news
256,@Ghana_Ronaldo @Mr_Teekay001
257,"@Sleder18 @Cristiano Mostrando el detrás de las escenas del club, la reconstrucción, todos los detalles de esta temporada dentro y fuera del campo."
258,@Ghana_Ronaldo @Auraxr_ @Halilullahahme2
259,@jay3llis Idk ten Hag is cooking something… Ronaldo benched is unheard of
260,@Ronaldo_aff É q to achando surreal kkk Fiquei com vergonha pelo Oda por ele ainda ter q responder
261,@Ghana_Ronaldo Connect
262,@Ghana_Ronaldo @dannyrossette7
263,@ronaldo_mb_dhf 🤣🤣🤣
264,"Ronaldo looks set to leave in the next 48 hours and it could come down to Napoli or Chelsea

#ronaldo #cr7 #chelsea #napoli"
265,@Ghana_Ronaldo @Culswagzzz IFB with no hesitation 🤲
266,@George_Ambangil Mwenye taarfa ya Ronaldo
267,@ronaldo_mb_dhf 🤣🤣
268,@FansdeFUT Messi mérite 79 de vitesse et Ronaldo 87
269,Stats completas de Cristiano Ronaldo en FIFA 23 #FIFA23 #FIFA23RATINGS #fifa23leaks #CristianoRonaldo #CristianoRonaldofifa23 https://t.co/2YSEpKRNnN
270,"@taesugis Imagínate ami, en nada tenemos a cristiano Ronaldo artista del año, se lo merece JAJAJAJAJAJAJA"
271,@FabrizioRomano Cristiano Ronaldo news?
272,Tuchel should just pity Ronaldo and allow him to come to Chelsea
273,"@Shellshoker7 @Ivan_milanista @NandoPiscopo1 È inutile. Non sforzarti, uno che ti fa l'esempio di Ronaldo dai su"
274,The Best🤍 @Cristiano https://t.co/t0uUJsJm9v
275,"@EasternBrooks @Pulisicate @MasterPackerPut The glazers sign off on all signings. They don't want to sell Ronaldo because of ""commercial"" reasons. Tell me how a manager can build a winning project when their boss' boss, who knows absolutely nothing about football, makes the footballing decision. That's why fans are upset."
276,@Ghana_Ronaldo @Ttonia_ @sadiqkhan_02
277,"@SK10Football @Cristiano ""leave the stage when the ovation is loud"""
278,"@franmachado1313 No está mal marcar 3 golitos para no ser Ronaldo... 

Esta cómoda la cueva ?"
279,@salaar28th2023 @ronaldo_mb_dhf https://t.co/oAKgWT7SOV
280,@Ghana_Ronaldo @Auraxr_ @NBARaxino
281,"¿Por qué 'nadie' quiere a Cristiano Ronaldo? Aquí las razones que llevaron a los gigantes europeos a rechazar al astro portugués
https://t.co/0Ie2PBkfTn"
282,@Ghana_Ronaldo Fb mate @Ghana_Ronaldo
283,@Amorimnismo Nem ronaldo nem nada. Perfeito amadorismo. Nada a fazer.
284,Napoli Offers To Pay 25% Of Ronaldo’s Salary As Transfer Deadline Approaches  https://t.co/7iNkhLVERx
285,@Letter_to_Jack That's not Ronaldo cr7 can't dribble
286,@spl2882 @OfficialFPL Thanks for Martinelli tip. No one in my league have Ronaldo and Bruno so I was trying to make the difference in points.
287,"@manafi_daimu @MCHUMIAJUANI8 @George_Ambangil @privaldinho wanajribu kusema Sanchez, Maguire, Ronaldo, Sancho, AWB, Maguire , Fred etc wote sio machaguo ya kocha? Glazers wana matatizo yao lakini kulalamika hawatoi pesa mfukoni ni ujinga, Utd ni mali Yao binafsi inajiendesha. Kosa meib putting the club at list kuitumia kama collateral."
288,@Ghana_Ronaldo @BadmusKudirat4
289,@Ghana_Ronaldo @HeazzieAce
290,"@Isuvalibey Saisss, Zago etkisi yapacak bize bir de yanına Ronaldo çekseydik efso olurdu da ah şu yabancı sınırı."
291,How Man Utd could line up at Leicester with Cristiano Ronaldo NOT IN SQUAD as transfer deadline hours away https://t.co/YMasw1B3Ys
292,How Man Utd could line up at Leicester with Cristiano Ronaldo NOT IN SQUAD as transfer deadline hours away https://t.co/YDGAAoL5nJ
293,"Varane Martinez
AWB Casemiro Malacia
Eriksen Sancho
Antony Martial Ronaldo

It’s time. Bring me Sanch10"
294,@Ghana_Ronaldo @Harpalsandhuu
295,We need ronaldo https://t.co/sqwjT68p7n
296,@Ghana_Ronaldo @EsarisaS ☺️😜
297,@Ghana_Ronaldo Fb
298,"@arielipillo Por que si Edu Aguirre mencionó que no iba a Nápoles ahora lo relacionan con ese equipo? 

Si Cristiano Ronaldo va a Nápoles Edu Aguirre pierde credibilidad total!"
299,"@whoistynah @ThomasKayondo @MarthaKayug I'm already an MP💀 and u, u won't even see Ronaldo in ur life 😅"
300,"@Ronaldo_aff O Brain Point? Muita gente leva isso como algo que o Oda preferiu esquecer por ser uma habilidade muito apelona pro personagem, por isso só usou uma vez."
301,@Ghana_Ronaldo @ampahbobo @_young_lomi
302,@rayann_005 @destinhooo2 @Rayanito94 Ptdrrrrr après ce mec est une merde (pas Ronaldo hein)
303,"@TrapIsKinq @FrankKhalidUK Just wait till Messi score more goals than Ronaldo.
But World Cup is really something."
304,@Ghana_Ronaldo @EsarisaS He follows back asappp🤷‍♀️🤷‍♀️🤷‍♀️
305,@Ghana_Ronaldo @RepentedSinner
306,@Ghana_Ronaldo @Cutie_254 @_Rop_1
307,"@Cristiano Its time to bring back the lost glory of Old Trafford, and whom can we best ask for. ETH, Better Team and Ronaldo."
308,@3gerardpique Handsome footballers like David Beckham cristiano ronaldo and messy nevet left their wives for another women and yet this pique who isn’t a good footballer managed to leave shakira
309,"@sportbible Taken out of context, he said Isco was his fav Madrid player then they said to say Ronaldo. Nothing to do with Messi"
310,@veerlasrinivasa @ronaldo_mb_dhf @urstrulyMahesh 🥲🥲 https://t.co/NvhkWjzDMO
311,@Ghana_Ronaldo @amasco1
312,@Ghana_Ronaldo @FrankwalkerLik6
313,@piersmorgan @Cristiano WAS an amazing player. One of the greatest ever. But he was quite rightly dropped as his poor form and lack of pace is letting him down.   Utd have done fine without him the past 2 games. Wonderful memories but it's time he moved on. Time has finally caught up.
314,@Veevian_ He's also Ronaldo FC 😃😃
315,@Ghana_Ronaldo @rosianaivy Hello just smile
316,@Ghana_Ronaldo @_Dipupo @Fati_AF10
317,@Ghana_Ronaldo @EsarisaS ❤
318,"@Roar__45 @ReddyPata @uday462 @ronaldo_mb_dhf Bhoobla nayak kante chala better ra patas pawala bjp ucha taage kukka , xroads svp 16 worth full bhoobla 11 🤣🤣 , US Tuesday offer to just 80k+ $ with 3 star rating , 20+ thammudu shows cancelled 😁🤣"
319,@Ghana_Ronaldo @Ramlat_z_Leeman
320,@Ghana_Ronaldo 🐼🐼
321,@TheFalcon6380 @SK10Football @Cristiano 😂😂😂😂😂😂
322,"@Ghana_Ronaldo @The7thCIC
 
@TGSP_045
 
@TichaOfficial1
 
 IFB🫦🫦🫦"
323,@Ghana_Ronaldo @EsarisaS IFB now
324,@Ghana_Ronaldo @zanotti_blaze 🔥🔥🔥
325,@Ghana_Ronaldo @PlacesVegas 🤑🎰🤑
326,@sporting_tatico Adoro o Amorim mas estas são escolhas dele. Não se compreende . E se é verdade que não quer Ronaldo se fosse possível .. não se entende
327,@aredacao Vai dar Ronaldo Caiado novamente 👏🏼👏🏼
328,@Ghana_Ronaldo @n_seb237
329,@Ghana_Ronaldo @Chuckbarns1
330,@Ghana_Ronaldo @despairsoul_ ifb immediately
331,"@Cristiano se abstuvo de agarrar a latigazos a esos troncos de la @juventusfcen , salvo honrosas excepciones como @mdeligt_04 😂😂😂¿Quien chingados es Mauro?.🤔 https://t.co/UrJzVBOB48"
332,@veerlasrinivasa @ronaldo_mb_dhf @urstrulyMahesh 😂😂😂
333,"Poco spazio finora ma le coppe sono alle porte! 23 anni, del #Freiburg ora solo a €5,93 sul #Mercato Sorare. Consigliato!

CARDS in omaggio per iniziare:
https://t.co/XVGJEZtEqY…

#calciomercato #navas #Paredes #sassuolomilan #Spalletti #30agosto #Juve #Osimhen #Napoli #Ronaldo https://t.co/ZUrfxUjDV8"
334,@Ghana_Ronaldo @msizi_vuyo  👠👠
335,"Matemáticamente Hablando. 
@derekjeter @Cortes_1210 @YancenPujols @_ICMAT @LasMatematicas @raquelarbaje @Cristiano @daddy_yankee @Yankees https://t.co/KsxxcsY0gw"
336,@Ghana_Ronaldo @mrsion01   IFB IMMEDIATELY‼️💕
337,"REVEALED: Cristiano Ronaldo's Last Chance Is Napoli Or Sporting CP Loan?! | Euro Transfer Talk
 
https://t.co/9tCmwpBl2f https://t.co/WtA6iVDCgx"
338,@TyrellMalaciia @ManUtd That’s Ronaldo taking some classes ☺️
339,Ronaldo 😭 https://t.co/KJ0nrhUzV9
340,"@Sebas26_ @nocontextfooty Arrest ronaldo asap, I've seen enough"
341,@Ronaldo_aff Obg ^^
342,"@stormstinx @StretfordPaddck We got Martial , Ronaldo , Rashford, Elanga all can play ST."
343,@jas_thfc Read this as Cristiano Ronaldo
344,@Blue_Footy Chelsea should get Ronaldo now or regret it later.
345,"@ccimnaza Congratulations my brother, let's begin the Ronaldo project biko🙏."
346,@DeadlineDayLive @mundodeportivo When he saw Ronaldo is still there. He would get benched
347,@ReshadRahman_ @HelenaCondis Cristiano Ronaldo can replace him.
348,onu bunu bilmem güzelliktir fiziktir görüştür bı kız goat Cristiano Ronaldo diyorsa o iş bitmiştir..💍💍💍
349,"@PAK_01 Aduh kok jadi gini...makin bingung Ronaldo..
https://t.co/OR0gp8OX76"
350,"@dk3rap24_jhon @Ale_RMFC No es burla. El Chelsea salió de Lukaku y Berner. Necesita un delantero. Y Auba necesita jugar porque lewandoski jugará todo. y porque el barça necesita liberar salario. Y además meten a Alonso en la operación

Después Ronaldo si sería alternativa. Pero no es la 1era para nada"
351,Life hasn’t been the same since the last Ronaldo goal
352,@Bharath_SRH4 @ronaldo_mb_dhf Main haa Raghu lk hey
353,Can we all agree that he carries Ronaldo FC? https://t.co/MK1CcXVHtb
354,@NebaSark Apart from that guy call Ronaldo none of them will make it to Chelsea first team
355,"@jeffjudo1975 @Vintage_Cfc They did it for the last 19 matches in all competitions before Ronaldo showed up. United were second remember? They scored goals. 
He shows up and suddenly they can't."
356,@ronaldo_mb_dhf https://t.co/kTxIbP6mQj
357,@Ale_RMFC @Cristiano Porque esta sonando demasiado el Napoli😭😭
358,@gen1903_genc @gltsryhytmz Ya Messi kim Ronaldo yanında Allah im heryerden çıkıyorlar 98 Fransa da tek başına finale çıkardı 2002 de kupayı aldı Messi kim ya
359,@jc_terenzi @mikerenzetti e com ronaldo fenomeno na gestão do mineirão
360,@l_60db @hewad1923 @maskulin23 @MiguelMartinho7 @TeamCRonaldo @_GIFN Lols...Ronaldo was in the opponent's defense
361,How Man Utd could line up at Leicester with Cristiano Ronaldo NOT IN SQUAD as transfer deadline hours away https://t.co/wJDdwqaivr
362,@wtf1official @XPBImages Maybe this is a place which Ronaldo is looking for?)
363,@onyejekwesteve Messi and Ronaldo looked confused🤣🤣🤣
364,"Ronaldo, il a changé. https://t.co/9G7NLY53t2"
365,"@Carlosh39837994 @TazawaYudi @BrunoRicardoCap @CR7Brasil Se estamos dentro do fair play porque razão o United só vai atrás do Depay e do Toney se o Ronaldo sair sendo que podemos muito bem trazer o Depay pra cobrir o Martial e continuar com o Ronaldo como 2° opção, e eu sei que a nossa receita é astronômica"
366,@ronaldo_mb_dhf Orey 🤣🤣🤣
367,@SocialChelseaFR @TheSecretScout_ Signez Ronaldo wsh zaha mdrrr
368,"Imaginemos a frente de ataque alternativa que teriamos, para jogar na taça de Portugal e da liga. 
Arthur Gomez, Ronaldo e Jovane. https://t.co/u6Km2s1Ipg"
369,"Cristiano Ronaldo: ""I'm looking for a club in the Champions League""

Every Champions League club: https://t.co/SdM2ouClIe"
370,@Cristiano vamossss
371,"@HyroXx_ Nah the Tree is going to cause a massive reality wave and turn everything Primal, the secret skin is going to be Ronaldo with an Emote that turns him into a tiger looking suit, you heard it here first
Here is what he said Ako | Fortnite News"
372,@GhxliRM_7 Bah Ronaldo ou messi
373,"a direcção que tirou o tapete a #Amorim continua a comprar-lhe extremos atrás de extremos para quando ele sair ter que comprar um camião de pontas de lança para qualquer outro treinador. só que sem dinheiro. faz sentido.
#SportingCP #Transfers #Arthur #Ronaldo"
374,@FutSheriff 95 yh cuz there's a very very slight chance I might pack Ginola or Ronaldo
375,"@Mario___RM Menos mal, hay Ronaldo para rato entonces"
376,"@mufcbr Ratings que deveriam ser corrigidos:

86 Ronaldo 🇵🇹
88 De Gea 🇪🇸
86 Fernandes 🇵🇹
83 Varane 🇫🇷
84 Sancho 🏴󠁧󠁢󠁥󠁮󠁧󠁿
84 Eriksen 🇩🇰
78 Rashford 🏴󠁧󠁢󠁥󠁮󠁧󠁿
82 Martínez 🇦🇷
77 Maguire 🏴󠁧󠁢󠁥󠁮󠁧󠁿
79 Wan Bissaka 🏴󠁧󠁢󠁥󠁮󠁧󠁿
78 Lindelöf 🇸🇪
78 McTominay 🏴󠁧󠁢󠁳󠁣󠁴󠁿
78 Shaw 🏴󠁧󠁢󠁥󠁮󠁧󠁿
80 Martial 🇫🇷"
377,"@Cristiano Huge Respect for you, your style of play , your Siuu celebration 👏🏻
As a huge fan i would like you to see in ManU again, seems they forget who d king is, Its the time to train harder, compete with others as Halaand, Salah, Jesus, Kane and show them who you are."
378,@Ale_RMFC @Cristiano Si no es Bayer o Chelsea es mejor q se quede y alomejor gana asta la Europa Li por q el Napoli sería una pésima opción en mi humilde opinión queremos lo mejor para el mejor del mundo siempre 🙏💪
379,"كرة القدم غير منصفه 
Look what's happening to messi and Ronaldo"
380,@Brah_Georgey E be like Ronaldo don break the owner of ESPN daughter heart before. Because I no come understand this obsession.
381,@FCBarcelona Ronaldo wishes he was playing for Barca so he can face Victoria's Secrets 😭😭
382,"@JMLOPEZPINTO @latiamana @SK10Football @Cristiano Uta, hasta que corto una flor de tu jardín…"
383,"@ronaldo_mb_dhf Aa reddy gadu endhanna 🤢
Pilla lanjodkula inka lottery lottery anukuntu"
384,"@nealiberal_ Compra láminas, te sale Ronaldo como a poco y cambiamos doradas."
385,@Leonardostn22 @FranAriza23 @Cr7stianismo_ @Cristiano Jajaj gordito deja d hablar boludeces el clásico de argentina es Brasil Alemania .. suerte con Guatemala y  panamá a el un par de meses te voy. A volver a hablar después de q te cojamos en el mundial como siempre
386,"Ronaldo-Napoli, Mendes insiste: CR7 in prestito https://t.co/SCgovJTto2"
387,"Lo Sporting non molla Cristiano Ronaldo, ma la tensione è alle stelle https://t.co/XVdY1mcihR"
388,"Zazzaroni: ""Ho una notizia certa su Ronaldo-Napoli"" https://t.co/PTHvvrnFjQ"
389,"Rai - Ronaldo non arriverà! Lo United non vuole pagare quasi tutto ingaggio, sfuma l'affare https://t.co/kZXe01Xg2R"
390,Napoli: Cristiano Ronaldo ha bloccato la trattativa https://t.co/82GJWKMVdw
391,"Clamoroso Ronaldo: non lo vogliono neppure allo Sporting, l'allenatore minaccia dimissioni https://t.co/MTGWXOgp05"
392,"Over Ronaldo gesproken..als die man op 1 of ander manier terug keert naar Real Madrid, verleng ik mn vakantie met een jaar"
393,@ronaldo_mb_dhf Glitz vachindi ly bro papam 😂
394,@Ronaldo_aff Meu Deus que porra é essa??
395,@veerlasrinivasa @ronaldo_mb_dhf @urstrulyMahesh 66 shows ki gatiga 20 fulls padale endi ra lechadi nee dawada na??
396,@10th__Warrior @Legendinho1 @mufcMPB @carlolaudisa I understand your point but first of all Ronaldo not turning up for pre season was allowed by the club as he said he had family reasons which is a concrete reason for being absent. Of course the press would make up stories for a few clicks and traffic. He's also come out to say
397,@Ronaldo_aff Não é irmã do Sanji?
398,Ronaldo will not leave till get all the cups in England https://t.co/Ji9aUCd57o
399,@tranquiloay Ich &gt; Ronaldo
400,@ronaldo_mb_dhf @urstrulyMahesh Sarle Velli Nammu Madam Puk Naku https://t.co/Vhbk0pHw1u
401,Cristiano Ronaldo scores hat-trick and becomes football’s all-time top goalscorer as he powers Manchester United to victory over Tottenham https://t.co/ZefiaQlPyY via @talksport
